,field,time_period,ranking,university_name,score,faculty,image_url
258,ai,2020,1,University of Alberta,52.8,29,./assets/alberta.jpeg
259,ai,2020,2,University of Toronto,31.7,23,./assets/uoft.jpeg
260,ai,2020,3,University of Waterloo,20.7,23,./assets/waterloo.jpeg
261,ai,2020,4,University of British Columbia,16.0,16,./assets/ubc.jpeg
262,ai,2020,5,Simon Fraser University,14.3,11,./assets/sfu.jpeg
263,ai,2020,6,University of Montreal,12.0,8,./assets/umontreal.jpeg
264,ai,2020,7,Carleton University,8.4,3,./assets/carleton.jpeg
265,ai,2020,8,Université Laval,7.9,7,./assets/ulaval.jpeg
266,ai,2020,9,University of Ottawa,6.9,4,./assets/uottawa.jpeg
267,ai,2020,10,McGill University,5.0,7,./assets/mcgill.webp
268,ai,2020,11,Université du Québec à Montréal,4.7,5,
269,ai,2020,12,University of Regina,4.2,4,
270,ai,2020,13,Queen’s University,3.2,3,./assets/queens.jpeg
271,ai,2020,14,Western University,2.9,3,./assets/western.jpeg
272,ai,2020,14,York University,2.9,5,./assets/york.jpeg
273,ai,2020,16,Dalhousie University,2.4,3,./assets/dalhousie.jpeg
274,ai,2020,16,McMaster University,2.4,3,
275,ai,2020,16,University of Manitoba,2.4,2,./assets/umanitoba.jpeg
276,ai,2020,16,University of Victoria,2.4,4,./assets/uvic.jpeg
277,ai,2020,20,Toronto Metropolitan University,2.2,1,
278,ai,2020,21,Polytechnique Montreal,1.9,1,
279,ai,2020,21,Université de Sherbrooke,1.9,2,
280,ai,2020,23,ETS Montreal,1.7,3,./assets/etsmontreal.avif
281,ai,2020,24,University of Calgary,1.4,1,./assets/ucalgary.jpeg
282,ai,2020,24,University of Guelph,1.4,2,./assets/guelph.jpeg
283,ai,2020,26,Concordia University,1.1,1,./assets/concordia.jpeg
284,cv,2020,1,Simon Fraser University,38.3,15,./assets/sfu.jpeg
285,cv,2020,2,York University,26.2,6,./assets/york.jpeg
286,cv,2020,3,University of British Columbia,24.7,12,./assets/ubc.jpeg
287,cv,2020,4,University of Toronto,16.0,18,./assets/uoft.jpeg
288,cv,2020,5,University of Waterloo,14.9,7,./assets/waterloo.jpeg
289,cv,2020,6,ETS Montreal,11.2,9,./assets/etsmontreal.avif
290,cv,2020,7,Concordia University,8.6,6,./assets/concordia.jpeg
291,cv,2020,8,Université Laval,8.1,4,./assets/ulaval.jpeg
292,cv,2020,9,University of Guelph,6.9,4,./assets/guelph.jpeg
293,cv,2020,10,University of Montreal,6.8,9,./assets/umontreal.jpeg
294,cv,2020,11,University of Alberta,5.7,5,./assets/alberta.jpeg
295,cv,2020,12,University of Manitoba,4.3,1,./assets/umanitoba.jpeg
296,cv,2020,13,Carleton University,3.7,2,./assets/carleton.jpeg
297,cv,2020,14,McGill University,3.4,4,./assets/mcgill.webp
298,cv,2020,15,Toronto Metropolitan University,2.3,1,
299,cv,2020,16,Université de Sherbrooke,1.8,2,
300,cv,2020,17,University of Ottawa,1.7,2,./assets/uottawa.jpeg
301,cv,2020,18,Polytechnique Montreal,1.4,1,
302,cv,2020,18,University of Victoria,1.4,2,./assets/uvic.jpeg
303,cv,2020,20,Western University,1.3,2,./assets/western.jpeg
304,cv,2020,21,Dalhousie University,1.2,1,./assets/dalhousie.jpeg
305,ml,2020,1,University of Toronto,74.2,37,./assets/uoft.jpeg
306,ml,2020,2,University of Montreal,65.2,15,./assets/umontreal.jpeg
307,ml,2020,3,University of Alberta,55.6,17,./assets/alberta.jpeg
308,ml,2020,4,University of British Columbia,37.1,21,./assets/ubc.jpeg
309,ml,2020,5,University of Waterloo,30.6,16,./assets/waterloo.jpeg
310,ml,2020,6,Simon Fraser University,12.4,16,./assets/sfu.jpeg
311,ml,2020,7,McGill University,10.9,12,./assets/mcgill.webp
312,ml,2020,8,ETS Montreal,5.6,7,./assets/etsmontreal.avif
313,ml,2020,9,York University,5.4,5,./assets/york.jpeg
314,ml,2020,10,Université Laval,4.5,4,./assets/ulaval.jpeg
